id,name,category,quantity,price,description,code,minimum_quantity,corridor,cabinet,shelf,classification,gaveta,unnamed: 6
2961,Amplificador operacional 741,,39,0.0,,,0,A,15.0,C,,99,
2670,Arruela isolante  vermelho,,169,0.0,,,0,A,15.0,C,,18,
2716,Barra de pino macho,,21,0.0,,,0,A,15.0,C,,37,
2829,Bobina de núcleo indutor,,151,0.0,,,0,A,15.0,C,,71,
2796,Bomba de água 12V,,1,0.0,,,0,A,15.0,C,,55,
2733,Borne 300V 102 MINI azul,,20,0.0,,,0,A,15.0,C,,43,
2732,Borne 300V 10A,,2,0.0,,,0,A,15.0,C,,43,
2729,Borne 300V 12 A 3 vias,,135,0.0,,,0,A,15.0,C,,43,
2731,Borne 300V 16A,,2,0.0,,,0,A,15.0,C,,43,
2730,Borne 300V 20 A 2 vias,,67,0.0,,,0,A,15.0,C,,43,
2672,Borne plug banana diversos,,110,0.0,,,0,A,15.0,C,,21,
2671,Borne plug banana preto,,349,0.0,,,0,A,15.0,C,,20,
2668,Borne plug banana vermelho,,19,0.0,,,0,A,15.0,C,,18,
2694,Botão tic tac,,16,0.0,,,0,nan,15.0,C,,29,
2994,CI LM 358 P,,11,0.0,,,0,A,15.0,C,,110,
2613,Cabo HDMI,Cabos,25,19.9,Cabo HDMI 2.0 de 1.8m,,0,,,,,,
3018,Capacitor cerâmico 103,,20,0.0,,,0,A,15.0,C,,117,
3019,Capacitor cerâmico 104,,20,0.0,,,0,A,15.0,C,,117,
3020,Capacitor cerâmico 223J 400V marrom,,20,0.0,,,0,A,15.0,C,,118,
3023,Capacitor cerâmico 2A 104K verde,,20,0.0,,,0,A,15.0,C,,118,
3022,Capacitor cerâmico 2G 104K verde,,20,0.0,,,0,A,15.0,C,,118,
3021,Capacitor cerâmico 473 47uf 50v marrom,,20,0.0,,,0,A,15.0,C,,118,
2790,Capacitor eletrolítico,,17,0.0,,,0,A,15.0,C,,53,
3056,"Capacitor eletrolítico 0,47 uF 100v",,30,0.0,,,0,14,15.0,A,,134,
3057,"Capacitor eletrolítico 0,47 uF 25v",,4,0.0,,,0,14,15.0,A,,134,
3055,"Capacitor eletrolítico 0,47uF 63v",,6,0.0,,,0,14,15.0,A,,134,
3106,Capacitor eletrolítico 1000uF 100V,,2,0.0,,,0,14,15.0,A,,148,
3098,Capacitor eletrolítico 1000uF 16V,,20,0.0,,,0,14,15.0,A,,145,
3108,Capacitor eletrolítico 1000uF 200V,,6,0.0,,,0,14,15.0,A,,148,
3109,Capacitor eletrolítico 1000uF 250V,,2,0.0,,,0,14,15.0,A,,148,
3095,Capacitor eletrolítico 1000uF 25V,,20,0.0,,,0,14,15.0,A,,145,
3096,Capacitor eletrolítico 1000uF 35V,,23,0.0,,,0,14,15.0,A,,145,
3097,Capacitor eletrolítico 1000uF 50V,,49,0.0,,,0,14,15.0,A,,145,
3107,Capacitor eletrolítico 1000uF 63V,,1,0.0,,,0,14,15.0,A,,148,
3082,Capacitor eletrolítico 100uF 16v,,60,0.0,,,0,14,15.0,A,,141,
3083,Capacitor eletrolítico 100uF 25v,,45,0.0,,,0,14,15.0,A,,141,
3084,Capacitor eletrolítico 100uF 35v,,49,0.0,,,0,14,15.0,A,,141,
3085,Capacitor eletrolítico 100uF 50v,,16,0.0,,,0,14,15.0,A,,141,
3086,Capacitor eletrolítico 100uF 63v,,20,0.0,,,0,14,15.0,A,,141,
3067,Capacitor eletrolítico 10uF 100v,,65,0.0,,,0,14,15.0,A,,137,
3069,Capacitor eletrolítico 10uF 25v,,3,0.0,,,0,14,15.0,A,,137,
3064,Capacitor eletrolítico 10uF 35v,,24,0.0,,,0,14,15.0,A,,136,
3065,Capacitor eletrolítico 10uF 50v,,150,0.0,,,0,14,15.0,A,,136,
3066,Capacitor eletrolítico 10uF 63v,,85,0.0,,,0,14,15.0,A,,136,
3068,Capacitor eletrolítico 16uF 100v,,4,0.0,,,0,14,15.0,A,,137,
3037,Capacitor eletrolítico 1uF 100v,,30,0.0,,,0,14,15.0,A,,130,
3036,Capacitor eletrolítico 1uF 50v,,19,0.0,,,0,14,15.0,A,,130,
3039,Capacitor eletrolítico 2.2uF 100v,,10,0.0,,,0,14,15.0,A,,130,
3038,Capacitor eletrolítico 2.2uF 50v,,84,0.0,,,0,14,15.0,A,,130,
3099,Capacitor eletrolítico 2200uF 25V,,30,0.0,,,0,14,15.0,A,,146,
3100,Capacitor eletrolítico 2200uF 50V,,12,0.0,,,0,14,15.0,A,,146,
3101,Capacitor eletrolítico 2200uF 63V,,4,0.0,,,0,14,15.0,A,,146,
3087,Capacitor eletrolítico 220uF 16v,,55,0.0,,,0,14,15.0,A,,142,
3088,Capacitor eletrolítico 220uF 25v,,1,0.0,,,0,14,15.0,A,,142,
3089,Capacitor eletrolítico 220uF 35v,,40,0.0,,,0,14,15.0,A,,142,
3090,Capacitor eletrolítico 220uF 50v,,6,0.0,,,0,14,15.0,A,,142,
3091,Capacitor eletrolítico 220uF 63v,,12,0.0,,,0,14,15.0,A,,142,
3052,Capacitor eletrolítico 22uF 100v,,80,0.0,,,0,14,15.0,A,,133,
3048,Capacitor eletrolítico 22uF 16v,,7,0.0,,,0,14,15.0,A,,132,
3049,Capacitor eletrolítico 22uF 25v,,18,0.0,,,0,14,15.0,A,,132,
3053,Capacitor eletrolítico 22uF 350v,,18,0.0,,,0,14,15.0,A,,134,
3050,Capacitor eletrolítico 22uF 35v,,10,0.0,,,0,14,15.0,A,,132,
3051,Capacitor eletrolítico 22uF 50v,,290,0.0,,,0,14,15.0,A,,133,
3041,Capacitor eletrolítico 3.3uF 100v,,45,0.0,,,0,14,15.0,A,,130,
3040,Capacitor eletrolítico 3.3uF 50v,,25,0.0,,,0,14,15.0,A,,130,
3102,Capacitor eletrolítico 330uF 200V,,3,0.0,,,0,14,15.0,A,,147,
3092,Capacitor eletrolítico 330uF 25v,,5,0.0,,,0,14,15.0,A,,143,
3076,Capacitor eletrolítico 33uF 35v,,3,0.0,,,0,14,15.0,A,,139,
3078,Capacitor eletrolítico 33uF 450v,,15,0.0,,,0,14,15.0,A,,139,
