material,quantidade,estoque mínimo,categoria,corredor,armário,prateleira,observação
Produto 1,101,10,Cat1,A1,01,01,Item de teste 1
Produto 2,102,10,Cat2,A2,02,02,Item de teste 2
Produto 3,103,10,Cat3,A3,03,03,Item de teste 3
Produto 4,104,10,Cat4,A4,04,04,Item de teste 4
Produto 5,105,10,Cat5,A0,05,05,Item de teste 5
Produto 6,106,10,Cat6,A1,06,06,Item de teste 6
Produto 7,107,10,Cat7,A2,07,07,Item de teste 7
Produto 8,108,10,Cat8,A3,08,08,Item de teste 8
Produto 9,109,10,Cat9,A4,09,09,Item de teste 9
Produto 10,110,10,Cat0,A0,10,00,Item de teste 10
Produto 11,111,10,Cat1,A1,11,01,Item de teste 11
Produto 12,112,10,Cat2,A2,12,02,Item de teste 12
Produto 13,113,10,Cat3,A3,13,03,Item de teste 13
Produto 14,114,10,Cat4,A4,14,04,Item de teste 14
Produto 15,115,10,Cat5,A0,15,05,Item de teste 15
Produto 16,116,10,Cat6,A1,16,06,Item de teste 16
Produto 17,117,10,Cat7,A2,17,07,Item de teste 17
Produto 18,118,10,Cat8,A3,18,08,Item de teste 18
Produto 19,119,10,Cat9,A4,19,09,Item de teste 19
Produto 20,120,10,Cat0,A0,00,00,Item de teste 20
Produto 21,121,10,Cat1,A1,01,01,Item de teste 21
Produto 22,122,10,Cat2,A2,02,02,Item de teste 22
Produto 23,123,10,Cat3,A3,03,03,Item de teste 23
Produto 24,124,10,Cat4,A4,04,04,Item de teste 24
Produto 25,125,10,Cat5,A0,05,05,Item de teste 25
Produto 26,126,10,Cat6,A1,06,06,Item de teste 26
Produto 27,127,10,Cat7,A2,07,07,Item de teste 27
Produto 28,128,10,Cat8,A3,08,08,Item de teste 28
Produto 29,129,10,Cat9,A4,09,09,Item de teste 29
Produto 30,130,10,Cat0,A0,10,00,Item de teste 30
Produto 31,131,10,Cat1,A1,11,01,Item de teste 31
Produto 32,132,10,Cat2,A2,12,02,Item de teste 32
Produto 33,133,10,Cat3,A3,13,03,Item de teste 33
Produto 34,134,10,Cat4,A4,14,04,Item de teste 34
Produto 35,135,10,Cat5,A0,15,05,Item de teste 35
Produto 36,136,10,Cat6,A1,16,06,Item de teste 36
Produto 37,137,10,Cat7,A2,17,07,Item de teste 37
Produto 38,138,10,Cat8,A3,18,08,Item de teste 38
Produto 39,139,10,Cat9,A4,19,09,Item de teste 39
Produto 40,140,10,Cat0,A0,00,00,Item de teste 40
Produto 41,141,10,Cat1,A1,01,01,Item de teste 41
Produto 42,142,10,Cat2,A2,02,02,Item de teste 42
Produto 43,143,10,Cat3,A3,03,03,Item de teste 43
Produto 44,144,10,Cat4,A4,04,04,Item de teste 44
Produto 45,145,10,Cat5,A0,05,05,Item de teste 45
Produto 46,146,10,Cat6,A1,06,06,Item de teste 46
Produto 47,147,10,Cat7,A2,07,07,Item de teste 47
Produto 48,148,10,Cat8,A3,08,08,Item de teste 48
Produto 49,149,10,Cat9,A4,09,09,Item de teste 49
Produto 50,150,10,Cat0,A0,10,00,Item de teste 50
Produto 51,151,10,Cat1,A1,11,01,Item de teste 51
Produto 52,152,10,Cat2,A2,12,02,Item de teste 52
Produto 53,153,10,Cat3,A3,13,03,Item de teste 53
Produto 54,154,10,Cat4,A4,14,04,Item de teste 54
Produto 55,155,10,Cat5,A0,15,05,Item de teste 55
Produto 56,156,10,Cat6,A1,16,06,Item de teste 56
Produto 57,157,10,Cat7,A2,17,07,Item de teste 57
Produto 58,158,10,Cat8,A3,18,08,Item de teste 58
Produto 59,159,10,Cat9,A4,19,09,Item de teste 59
Produto 60,160,10,Cat0,A0,00,00,Item de teste 60
Produto 61,161,10,Cat1,A1,01,01,Item de teste 61
Produto 62,162,10,Cat2,A2,02,02,Item de teste 62
Produto 63,163,10,Cat3,A3,03,03,Item de teste 63
